,Unnamed: 0,label,judul_clean,narasi_clean,stem_narasi,stem_judul,freq_tokens
1421,1421,1,kepulauan maluku tenggelam jurang palung laut,hasil foto satelit dimensi kepulauan maluku posisi ambon leas tubir jurang palung laut dunia menakutkan ahli seram ambon leas tsunami yang mengerikan patahan longsoran pulau ambon leas seram patah longsor masuk jurang palung laut berkilo kilo dasar lautan,"['hasil', 'foto', 'satelit', 'dimensi', 'kepulauan', 'maluku', 'posisi', 'ambon', 'leas', 'tubir', 'jurang', 'palung', 'laut', 'dunia', 'menakutkan', 'ahli', 'seram', 'ambon', 'leas', 'tsunami', 'yang', 'mengerikan', 'patahan', 'longsoran', 'pulau', 'ambon', 'leas', 'seram', 'patah', 'longsor', 'masuk', 'jurang', 'palung', 'laut', 'berkilo', 'kilo', 'dasar', 'lautan']","['kepulauan', 'maluku', 'tenggelam', 'jurang', 'palung', 'laut']",<FreqDist with 30 samples and 38 outcomes>
1422,1422,1,video al quran selamat tersentuh api kebakaran gedung wamena,cnn memberitakan bangunan toko terbakar wamena ditemukan alquran alkarim selamat tersentuh api kalam ilahi dijaga pemiliknyasubhanallah,"['cnn', 'memberitakan', 'bangunan', 'toko', 'terbakar', 'wamena', 'ditemukan', 'alquran', 'alkarim', 'selamat', 'tersentuh', 'api', 'kalam', 'ilahi', 'dijaga', 'pemiliknyasubhanallah']","['video', 'al', 'quran', 'selamat', 'tersentuh', 'api', 'kebakaran', 'gedung', 'wamena']",<FreqDist with 16 samples and 16 outcomes>
1423,1423,1,asteroid yang menghantam bumi septemb,himbauan nasa ulama warga internet kiamat asteroid yang menghantam bumi septemb,"['himbauan', 'nasa', 'ulama', 'warga', 'internet', 'kiamat', 'asteroid', 'yang', 'menghantam', 'bumi', 'septemb']","['asteroid', 'yang', 'menghantam', 'bumi', 'septemb']",<FreqDist with 11 samples and 11 outcomes>
1424,1424,1,menghadapi pendemo jakarta,brimob papua tidak senjata menghadapi pendemo jakarta,"['brimob', 'papua', 'tidak', 'senjata', 'menghadapi', 'pendemo', 'jakarta']","['menghadapi', 'pendemo', 'jakarta']",<FreqDist with 7 samples and 7 outcomes>
1425,1425,1,video penyerangan anggota tni papua,negara pemerintah nya kemana papua diam suara aksi nya tanya arti maksud nkri harga mati,"['negara', 'pemerintah', 'nya', 'kemana', 'papua', 'diam', 'suara', 'aksi', 'nya', 'tanya', 'arti', 'maksud', 'nkri', 'harga', 'mati']","['video', 'penyerangan', 'anggota', 'tni', 'papua']",<FreqDist with 14 samples and 15 outcomes>
1426,1426,1,kompak resign forum honor pn pendukung prabowo pilih anggota fpi,kompak resign forum honor pn pendukung prabowo pilih anggota fpi,"['kompak', 'resign', 'forum', 'honor', 'pn', 'pendukung', 'prabowo', 'pilih', 'anggota', 'fpi']","['kompak', 'resign', 'forum', 'honor', 'pn', 'pendukung', 'prabowo', 'pilih', 'anggota', 'fpi']",<FreqDist with 10 samples and 10 outcomes>
1427,1427,1,orma forum bhayangkara indonesia,coba jokowi maksud,"['coba', 'jokowi', 'maksud']","['orma', 'forum', 'bhayangkara', 'indonesia']",<FreqDist with 3 samples and 3 outcomes>
1428,1428,1,tanggal mei pendukung kepung kpu wiranto biarkan bahan berburu menembak tnipolri,tanggal mei pendukung kepung kpu wiranto biarkan bahan berburu menembak tnipolri,"['tanggal', 'mei', 'pendukung', 'kepung', 'kpu', 'wiranto', 'biarkan', 'bahan', 'berburu', 'menembak', 'tnipolri']","['tanggal', 'mei', 'pendukung', 'kepung', 'kpu', 'wiranto', 'biarkan', 'bahan', 'berburu', 'menembak', 'tnipolri']",<FreqDist with 11 samples and 11 outcomes>
1429,1429,0,klarifikasi surat edaran intruksi memasang spanduk ucapan selamat terpilihnya prabowosandi presiden wakil presiden,intruksi badan pemenangan prabowo sandi,"['intruksi', 'badan', 'pemenangan', 'prabowo', 'sandi']","['klarifikasi', 'surat', 'edaran', 'intruksi', 'memasang', 'spanduk', 'ucapan', 'selamat', 'terpilihnya', 'prabowosandi', 'presiden', 'wakil', 'presiden']",<FreqDist with 5 samples and 5 outcomes>
1430,1430,1,kpu dituduh penggiringan opini,bertanyatanya hasil real count websit kpu berubah drasti memenangkan salah paslon up ulah hacker ya sebarkan hoax,"['bertanyatanya', 'hasil', 'real', 'count', 'websit', 'kpu', 'berubah', 'drasti', 'memenangkan', 'salah', 'paslon', 'up', 'ulah', 'hacker', 'ya', 'sebarkan', 'hoax']","['kpu', 'dituduh', 'penggiringan', 'opini']",<FreqDist with 17 samples and 17 outcomes>
1431,1431,1,undangan acara dukungan hmikahmi jokowi,deklarasi dukungan kahmi hmi,"['deklarasi', 'dukungan', 'kahmi', 'hmi']","['undangan', 'acara', 'dukungan', 'hmikahmi', 'jokowi']",<FreqDist with 4 samples and 4 outcomes>
1432,1432,1,daftar nama honor lolo seleksi cpn,bu tunggu sekian lamanyasemua terjawab,"['bu', 'tunggu', 'sekian', 'lamanyasemua', 'terjawab']","['daftar', 'nama', 'honor', 'lolo', 'seleksi', 'cpn']",<FreqDist with 5 samples and 5 outcomes>
1433,1433,1,anak sd riau bertemu penguasa ngumpet saja yuk,anak sd riau tau yang murid murid bertemu penguasa ngumpet saja yuk,"['anak', 'sd', 'riau', 'tau', 'yang', 'murid', 'murid', 'bertemu', 'penguasa', 'ngumpet', 'saja', 'yuk']","['anak', 'sd', 'riau', 'bertemu', 'penguasa', 'ngumpet', 'saja', 'yuk']",<FreqDist with 11 samples and 12 outcomes>
1434,1434,1,melahir bayi nya kayak kodo,melahir bayi nya kayak kodo krana suami nya bunuh kodo binatang karma nya,"['melahir', 'bayi', 'nya', 'kayak', 'kodo', 'krana', 'suami', 'nya', 'bunuh', 'kodo', 'binatang', 'karma', 'nya']","['melahir', 'bayi', 'nya', 'kayak', 'kodo']",<FreqDist with 10 samples and 13 outcomes>
1435,1435,0,pertamina bangkrut,bangkrut capit expenditur terlambat batalkan,"['bangkrut', 'capit', 'expenditur', 'terlambat', 'batalkan']","['pertamina', 'bangkrut']",<FreqDist with 5 samples and 5 outcomes>
1436,1436,1,hebatnya kepolisian malaysia,hebatnya kepolisian malaysia pm najib kalah pemilu melawan pm mahatir tanggal mei najib istri dicek passportnya harta hasil korupsinya ditemukan disita part of najib corrupt money seiz overnight ini store room ini hi fabul mansion by bukit aman secur forc now hi rosmah intern passport are compound on the order of tun dari mahathir mohammad cepat kerjanya,"['hebatnya', 'kepolisian', 'malaysia', 'pm', 'najib', 'kalah', 'pemilu', 'melawan', 'pm', 'mahatir', 'tanggal', 'mei', 'najib', 'istri', 'dicek', 'passportnya', 'harta', 'hasil', 'korupsinya', 'ditemukan', 'disita', 'part', 'of', 'najib', 'corrupt', 'money', 'seiz', 'overnight', 'ini', 'store', 'room', 'ini', 'hi', 'fabul', 'mansion', 'by', 'bukit', 'aman', 'secur', 'forc', 'now', 'hi', 'rosmah', 'intern', 'passport', 'are', 'compound', 'on', 'the', 'order', 'of', 'tun', 'dari', 'mahathir', 'mohammad', 'cepat', 'kerjanya']","['hebatnya', 'kepolisian', 'malaysia']",<FreqDist with 51 samples and 57 outcomes>
1437,1437,0,lambangnya dicatut sekber gerindrapk pbb klarifikasi,pencantuman logo pbb rumah sekretariat konfirmasi ketua bidang pemenangan presiden surat sekretariat jender pbb,"['pencantuman', 'logo', 'pbb', 'rumah', 'sekretariat', 'konfirmasi', 'ketua', 'bidang', 'pemenangan', 'presiden', 'surat', 'sekretariat', 'jender', 'pbb']","['lambangnya', 'dicatut', 'sekber', 'gerindrapk', 'pbb', 'klarifikasi']",<FreqDist with 12 samples and 14 outcomes>
1438,1438,0,pertemuan suku dayak menuntut gubernur kalimantan barat maaf,alhamdulillahhasil pertemuan kepala suku dayak sekalimantan sarawaksabah brunei memutuskan bahwa kericuhan pontianak urusan suku dayakumat islam saudara merekapantang memusuhi umat islamata perintah panglima dayak menuntut gubernur corneliu kalbar untuk maaf terbuka turun jabatan gubernurmeminta kepada aparat penegak hukum untuk mengusut penistaan agama tsbjika tdkmaka hukum adat diberlakukan pontianak terhadap corneliu pengikutnyademikian hasil rapat pemuka adat suku dayak sekalimantan,"['alhamdulillahhasil', 'pertemuan', 'kepala', 'suku', 'dayak', 'sekalimantan', 'sarawaksabah', 'brunei', 'memutuskan', 'bahwa', 'kericuhan', 'pontianak', 'urusan', 'suku', 'dayakumat', 'islam', 'saudara', 'merekapantang', 'memusuhi', 'umat', 'islamata', 'perintah', 'panglima', 'dayak', 'menuntut', 'gubernur', 'corneliu', 'kalbar', 'untuk', 'maaf', 'terbuka', 'turun', 'jabatan', 'gubernurmeminta', 'kepada', 'aparat', 'penegak', 'hukum', 'untuk', 'mengusut', 'penistaan', 'agama', 'tsbjika', 'tdkmaka', 'hukum', 'adat', 'diberlakukan', 'pontianak', 'terhadap', 'corneliu', 'pengikutnyademikian', 'hasil', 'rapat', 'pemuka', 'adat', 'suku', 'dayak', 'sekalimantan']","['pertemuan', 'suku', 'dayak', 'menuntut', 'gubernur', 'kalimantan', 'barat', 'maaf']",<FreqDist with 48 samples and 58 outcomes>
1439,1439,1,didit anak prabowo subianto berkampany mendukung komunita gay,loodidit anak prabowo subianto berkampany mendukung komunita gay,"['loodidit', 'anak', 'prabowo', 'subianto', 'berkampany', 'mendukung', 'komunita', 'gay']","['didit', 'anak', 'prabowo', 'subianto', 'berkampany', 'mendukung', 'komunita', 'gay']",<FreqDist with 8 samples and 8 outcomes>
1440,1440,1,penolakan safari dakwah ustad somad bali,penolakan safari dakwah ustad somad bali,"['penolakan', 'safari', 'dakwah', 'ustad', 'somad', 'bali']","['penolakan', 'safari', 'dakwah', 'ustad', 'somad', 'bali']",<FreqDist with 6 samples and 6 outcomes>
1441,1441,1,minuman beracun demo desemb bersianida,minuman beracun demo desemb bersianida,"['minuman', 'beracun', 'demo', 'desemb', 'bersianida']","['minuman', 'beracun', 'demo', 'desemb', 'bersianida']",<FreqDist with 5 samples and 5 outcomes>
1442,1442,0,momshati yaaaskrg video porno search wa,dari grup sebelah momshati yaaaskrg video porno search wa yang android buka tanda emoticon smile pengetikan tek wa buka tanda gif search kolom pencarian disebelah pojok kiri nama sex,"['dari', 'grup', 'sebelah', 'momshati', 'yaaaskrg', 'video', 'porno', 'search', 'wa', 'yang', 'android', 'buka', 'tanda', 'emoticon', 'smile', 'pengetikan', 'tek', 'wa', 'buka', 'tanda', 'gif', 'search', 'kolom', 'pencarian', 'disebelah', 'pojok', 'kiri', 'nama', 'sex']","['momshati', 'yaaaskrg', 'video', 'porno', 'search', 'wa']",<FreqDist with 25 samples and 29 outcomes>
1443,1443,1,nabila jessica alexi hotel,gambar postingan akun facebook basuki sutawijaya berjudul nabila jessica alexi hotel,"['gambar', 'postingan', 'akun', 'facebook', 'basuki', 'sutawijaya', 'berjudul', 'nabila', 'jessica', 'alexi', 'hotel']","['nabila', 'jessica', 'alexi', 'hotel']",<FreqDist with 11 samples and 11 outcomes>
1444,1444,1,sultan brunei hassan bolkiah angkat bicara pesta sek gay jakarta,pesta gy digrebek sultan brunei menjijikkan agama indonesia,"['pesta', 'gy', 'digrebek', 'sultan', 'brunei', 'menjijikkan', 'agama', 'indonesia']","['sultan', 'brunei', 'hassan', 'bolkiah', 'angkat', 'bicara', 'pesta', 'sek', 'gay', 'jakarta']",<FreqDist with 8 samples and 8 outcomes>
1445,1445,1,eggi sudjana orma konsep trinita prof mahfudz md,eggi sudjana orma konsep trinita prof mahfudz md,"['eggi', 'sudjana', 'orma', 'konsep', 'trinita', 'prof', 'mahfudz', 'md']","['eggi', 'sudjana', 'orma', 'konsep', 'trinita', 'prof', 'mahfudz', 'md']",<FreqDist with 8 samples and 8 outcomes>
1446,1446,1,tertipu belanja onlin warga lapor polisi jalur,tertipu belanja onlin adukan interpol tertipu belanja onlin mengadukan polri interpol adukan tertipu belanja onlin kirimkan nomor reken orang menerima transfer bukti transfer bukti email,"['tertipu', 'belanja', 'onlin', 'adukan', 'interpol', 'tertipu', 'belanja', 'onlin', 'mengadukan', 'polri', 'interpol', 'adukan', 'tertipu', 'belanja', 'onlin', 'kirimkan', 'nomor', 'reken', 'orang', 'menerima', 'transfer', 'bukti', 'transfer', 'bukti', 'email']","['tertipu', 'belanja', 'onlin', 'warga', 'lapor', 'polisi', 'jalur']",<FreqDist with 15 samples and 25 outcomes>
1447,1447,1,petisi rahasia menuntut referendum kemerdekaan papua barat dipresentasikan perserikatan bangsabangsa,petisi dilarang pemerintah indonesia memiliki tanda tangan juta orang papua barat populasi provinsi diperebutkan dipresentasikan perserikatan bangsabangsa permintaan suara beba kemerdekaan,"['petisi', 'dilarang', 'pemerintah', 'indonesia', 'memiliki', 'tanda', 'tangan', 'juta', 'orang', 'papua', 'barat', 'populasi', 'provinsi', 'diperebutkan', 'dipresentasikan', 'perserikatan', 'bangsabangsa', 'permintaan', 'suara', 'beba', 'kemerdekaan']","['petisi', 'rahasia', 'menuntut', 'referendum', 'kemerdekaan', 'papua', 'barat', 'dipresentasikan', 'perserikatan', 'bangsabangsa']",<FreqDist with 21 samples and 21 outcomes>
1448,1448,1,indonesia stop baha muslim rohingnya uru negeri suu kyi,indonesia stop baha muslim rohingnya uru negeri suu kyi,"['indonesia', 'stop', 'baha', 'muslim', 'rohingnya', 'uru', 'negeri', 'suu', 'kyi']","['indonesia', 'stop', 'baha', 'muslim', 'rohingnya', 'uru', 'negeri', 'suu', 'kyi']",<FreqDist with 9 samples and 9 outcomes>
1449,1449,1,majalah al islam palsu wujudkan jakarta bersyariah,majalah al islam palsu wujudkan jakarta bersyariah,"['majalah', 'al', 'islam', 'palsu', 'wujudkan', 'jakarta', 'bersyariah']","['majalah', 'al', 'islam', 'palsu', 'wujudkan', 'jakarta', 'bersyariah']",<FreqDist with 7 samples and 7 outcomes>
1450,1450,1,firza husein akui chat sek rizieq shihab mako brimob kelapa,firza husein akui chat sek rizieq shihab mako brimob kelapa,"['firza', 'husein', 'akui', 'chat', 'sek', 'rizieq', 'shihab', 'mako', 'brimob', 'kelapa']","['firza', 'husein', 'akui', 'chat', 'sek', 'rizieq', 'shihab', 'mako', 'brimob', 'kelapa']",<FreqDist with 10 samples and 10 outcomes>
1451,1451,1,david beckham pakai kao bertuliskan free west papua berkunjung wamena papua,pemain sepak bola inggri david beckham berkunjung pedalaman wamenapapua diamdiampemain ternama dunia memberikana bantuan kemanusiaan mendegar tragedi kematian anak nduga silam kedatangan sang bintang sepak bola dikagetkana kao baju dikenakan david beckham bertulisanfre west papua,"['pemain', 'sepak', 'bola', 'inggri', 'david', 'beckham', 'berkunjung', 'pedalaman', 'wamenapapua', 'diamdiampemain', 'ternama', 'dunia', 'memberikana', 'bantuan', 'kemanusiaan', 'mendegar', 'tragedi', 'kematian', 'anak', 'nduga', 'silam', 'kedatangan', 'sang', 'bintang', 'sepak', 'bola', 'dikagetkana', 'kao', 'baju', 'dikenakan', 'david', 'beckham', 'bertulisanfre', 'west', 'papua']","['david', 'beckham', 'pakai', 'kao', 'bertuliskan', 'free', 'west', 'papua', 'berkunjung', 'wamena', 'papua']",<FreqDist with 31 samples and 35 outcomes>
1452,1452,1,permen jari narkoba,info dari dina kesehatan kota tangerangpermen jari ditemukan sekolah daerah cileduganak mengkonsumsi permen tertidur hariseperti orang kecanduanminta permen jarisekarang dalam penyelidikanmohon hati buat semuamihon bu gurumint tolong anak dilarang jajan abangyg julanni aneh,"['info', 'dari', 'dina', 'kesehatan', 'kota', 'tangerangpermen', 'jari', 'ditemukan', 'sekolah', 'daerah', 'cileduganak', 'mengkonsumsi', 'permen', 'tertidur', 'hariseperti', 'orang', 'kecanduanminta', 'permen', 'jarisekarang', 'dalam', 'penyelidikanmohon', 'hati', 'buat', 'semuamihon', 'bu', 'gurumint', 'tolong', 'anak', 'dilarang', 'jajan', 'abangyg', 'julanni', 'aneh']","['permen', 'jari', 'narkoba']",<FreqDist with 32 samples and 33 outcomes>
1453,1453,1,jepang ancam menarik investasi,pekan stasiun tv jepang membaha kekecewaannya pemerintahan jokowi jika,"['pekan', 'stasiun', 'tv', 'jepang', 'membaha', 'kekecewaannya', 'pemerintahan', 'jokowi', 'jika']","['jepang', 'ancam', 'menarik', 'investasi']",<FreqDist with 9 samples and 9 outcomes>
1454,1454,1,foto anak suriah tidur makam orang tuanya,anak suriah yang hilang orang tua nya yang perang kemana keadilan dunia,"['anak', 'suriah', 'yang', 'hilang', 'orang', 'tua', 'nya', 'yang', 'perang', 'kemana', 'keadilan', 'dunia']","['foto', 'anak', 'suriah', 'tidur', 'makam', 'orang', 'tuanya']",<FreqDist with 11 samples and 12 outcomes>
1455,1455,1,indomi saksang babi,indomi seleraku babi emmm endul,"['indomi', 'seleraku', 'babi', 'emmm', 'endul']","['indomi', 'saksang', 'babi']",<FreqDist with 5 samples and 5 outcomes>
1456,1456,1,menteri negeri indonesia pemerintahannya kewalahan kepemimpinan,menteri negeri indonesia pemerintahannya kewalahan kepemimpinan fenomena global,"['menteri', 'negeri', 'indonesia', 'pemerintahannya', 'kewalahan', 'kepemimpinan', 'fenomena', 'global']","['menteri', 'negeri', 'indonesia', 'pemerintahannya', 'kewalahan', 'kepemimpinan']",<FreqDist with 8 samples and 8 outcomes>
1457,1457,1,ular makan senapan lara jeni aku,sake lapar nya ular makan senapan lara jeni aku,"['sake', 'lapar', 'nya', 'ular', 'makan', 'senapan', 'lara', 'jeni', 'aku']","['ular', 'makan', 'senapan', 'lara', 'jeni', 'aku']",<FreqDist with 9 samples and 9 outcomes>
1458,1458,1,kakek banten kelaparan makan kapuk,kelaparan kakek cirua serang ganjal perut kapuk bantal kakek bernama mbah sarani hidup sebatang kara warga kampung pariuk desa singamerta kecamatan cirua kabupaten serang memiliki sanak saudara sang istri meningg hidup uluran tangan tetangga,"['kelaparan', 'kakek', 'cirua', 'serang', 'ganjal', 'perut', 'kapuk', 'bantal', 'kakek', 'bernama', 'mbah', 'sarani', 'hidup', 'sebatang', 'kara', 'warga', 'kampung', 'pariuk', 'desa', 'singamerta', 'kecamatan', 'cirua', 'kabupaten', 'serang', 'memiliki', 'sanak', 'saudara', 'sang', 'istri', 'meningg', 'hidup', 'uluran', 'tangan', 'tetangga']","['kakek', 'banten', 'kelaparan', 'makan', 'kapuk']",<FreqDist with 30 samples and 34 outcomes>
1459,1459,1,tangkapan layar dina imigrasi tahan orang wna china ileg,dina imigrasi tahan orang wna china ileg pembawa senpi aku jeni terbaru peluru transit bandara soeta,"['dina', 'imigrasi', 'tahan', 'orang', 'wna', 'china', 'ileg', 'pembawa', 'senpi', 'aku', 'jeni', 'terbaru', 'peluru', 'transit', 'bandara', 'soeta']","['tangkapan', 'layar', 'dina', 'imigrasi', 'tahan', 'orang', 'wna', 'china', 'ileg']",<FreqDist with 16 samples and 16 outcomes>
1460,1460,1,penerapan psbb kota depok tutup jalan,psbb kota depok berlaku lenteng agung sekat tidak masuk jalan margonda diarahkan jalan komjen yasin citayem sekat tanjakan gdc yang jalan margonda dibuang arah gdc kali mulya citayem sekat tanjakan gdc yang jalan margonda buang arah gdc kali mulya,"['psbb', 'kota', 'depok', 'berlaku', 'lenteng', 'agung', 'sekat', 'tidak', 'masuk', 'jalan', 'margonda', 'diarahkan', 'jalan', 'komjen', 'yasin', 'citayem', 'sekat', 'tanjakan', 'gdc', 'yang', 'jalan', 'margonda', 'dibuang', 'arah', 'gdc', 'kali', 'mulya', 'citayem', 'sekat', 'tanjakan', 'gdc', 'yang', 'jalan', 'margonda', 'buang', 'arah', 'gdc', 'kali', 'mulya']","['penerapan', 'psbb', 'kota', 'depok', 'tutup', 'jalan']",<FreqDist with 23 samples and 39 outcomes>
1461,1461,1,video kali sejarah presiden senat as membuka sidang alquran,subhanallah kali sejarah presiden senat as membuka sidang alquran,"['subhanallah', 'kali', 'sejarah', 'presiden', 'senat', 'as', 'membuka', 'sidang', 'alquran']","['video', 'kali', 'sejarah', 'presiden', 'senat', 'as', 'membuka', 'sidang', 'alquran']",<FreqDist with 9 samples and 9 outcomes>
1462,1462,1,perjalanan kak arah jakarta april dibatalkan,perjalanan kak arah jakarta april dibatalkan,"['perjalanan', 'kak', 'arah', 'jakarta', 'april', 'dibatalkan']","['perjalanan', 'kak', 'arah', 'jakarta', 'april', 'dibatalkan']",<FreqDist with 6 samples and 6 outcomes>
1463,1463,1,mengalahkan viru korona mengambil makanan alkali tingkat ph viru,ph viru korona bervariasi lakukan mengalahkan viru korona mengambil makanan alkali tingkat ph viru,"['ph', 'viru', 'korona', 'bervariasi', 'lakukan', 'mengalahkan', 'viru', 'korona', 'mengambil', 'makanan', 'alkali', 'tingkat', 'ph', 'viru']","['mengalahkan', 'viru', 'korona', 'mengambil', 'makanan', 'alkali', 'tingkat', 'ph', 'viru']",<FreqDist with 10 samples and 14 outcomes>
1464,1464,1,photo of friday prayer ini gaza today,friday jummah prayer at gaza earlier today zero case of covid report ini gaza sok far as they are alreadi cut off from the world the world forgot about gaza but peopl of gaza today pray for the world,"['friday', 'jummah', 'prayer', 'at', 'gaza', 'earlier', 'today', 'zero', 'case', 'of', 'covid', 'report', 'ini', 'gaza', 'sok', 'far', 'as', 'they', 'are', 'alreadi', 'cut', 'off', 'from', 'the', 'world', 'the', 'world', 'forgot', 'about', 'gaza', 'but', 'peopl', 'of', 'gaza', 'today', 'pray', 'for', 'the', 'world']","['photo', 'of', 'friday', 'prayer', 'ini', 'gaza', 'today']",<FreqDist with 30 samples and 39 outcomes>
1465,1465,1,joko widodo presiden republik indonesia memberlakukan kerantina parsial terbata,joko widodo presiden republik indonesia memberlakukan kerantina parsial terbata aktifita publik wilayah indonesia dki jakarta bekasi depok bogor bandung surabaya banten tangerang semarang bali,"['joko', 'widodo', 'presiden', 'republik', 'indonesia', 'memberlakukan', 'kerantina', 'parsial', 'terbata', 'aktifita', 'publik', 'wilayah', 'indonesia', 'dki', 'jakarta', 'bekasi', 'depok', 'bogor', 'bandung', 'surabaya', 'banten', 'tangerang', 'semarang', 'bali']","['joko', 'widodo', 'presiden', 'republik', 'indonesia', 'memberlakukan', 'kerantina', 'parsial', 'terbata']",<FreqDist with 23 samples and 24 outcomes>
1466,1466,0,kemendagri bantah tito karnavian terjangkit covid,spekulasi menteri negeri mendagri tito karnavian terkena viru corona langsung mencuat mantan kapolri mengunjungi rumah sakit pusat rsup persahabatan jakarta timur sabtu maklum kekhawatiran penyebaran viru corona anggota kabinet kerja jilid ii menguat menyusul konfirmasi menteri perhubungan budi karya sumadi dinyatakan positif covid rs persahabatan rumah sakit rujukan penanganan pasien akibat viru corona,"['spekulasi', 'menteri', 'negeri', 'mendagri', 'tito', 'karnavian', 'terkena', 'viru', 'corona', 'langsung', 'mencuat', 'mantan', 'kapolri', 'mengunjungi', 'rumah', 'sakit', 'pusat', 'rsup', 'persahabatan', 'jakarta', 'timur', 'sabtu', 'maklum', 'kekhawatiran', 'penyebaran', 'viru', 'corona', 'anggota', 'kabinet', 'kerja', 'jilid', 'ii', 'menguat', 'menyusul', 'konfirmasi', 'menteri', 'perhubungan', 'budi', 'karya', 'sumadi', 'dinyatakan', 'positif', 'covid', 'rs', 'persahabatan', 'rumah', 'sakit', 'rujukan', 'penanganan', 'pasien', 'akibat', 'viru', 'corona']","['kemendagri', 'bantah', 'tito', 'karnavian', 'terjangkit', 'covid']",<FreqDist with 45 samples and 53 outcomes>
1467,1467,1,foto rumah sakit tega meloloskan bapa membawa pulang mayat anaknya sepeda motor,membayar biaya sewa ambul rumah sakit tega meloloskan bapa membawa pulang mayat anaknya sepeda motor potret indonesia hebat,"['membayar', 'biaya', 'sewa', 'ambul', 'rumah', 'sakit', 'tega', 'meloloskan', 'bapa', 'membawa', 'pulang', 'mayat', 'anaknya', 'sepeda', 'motor', 'potret', 'indonesia', 'hebat']","['foto', 'rumah', 'sakit', 'tega', 'meloloskan', 'bapa', 'membawa', 'pulang', 'mayat', 'anaknya', 'sepeda', 'motor']",<FreqDist with 18 samples and 18 outcomes>
1468,1468,1,dikomfirmasi jokowi china mengejar ikan lari indonesia natuna mencuri,dikomfirmasi jokowi china mengejar ikan lari indonesia natuna mencuri,"['dikomfirmasi', 'jokowi', 'china', 'mengejar', 'ikan', 'lari', 'indonesia', 'natuna', 'mencuri']","['dikomfirmasi', 'jokowi', 'china', 'mengejar', 'ikan', 'lari', 'indonesia', 'natuna', 'mencuri']",<FreqDist with 9 samples and 9 outcomes>
1469,1469,0,klarifikasi terkait isu bank arto diakuisisi gojek bank gojek,menanggapi bank arto klarifikasinya plt direktur utama sekretari perusahaan bank arto deddi triyana informasi gojek bank arto beras perseroan menyebut bank arto berbicara perih rencana akuisisi gojek,"['menanggapi', 'bank', 'arto', 'klarifikasinya', 'plt', 'direktur', 'utama', 'sekretari', 'perusahaan', 'bank', 'arto', 'deddi', 'triyana', 'informasi', 'gojek', 'bank', 'arto', 'beras', 'perseroan', 'menyebut', 'bank', 'arto', 'berbicara', 'perih', 'rencana', 'akuisisi', 'gojek']","['klarifikasi', 'terkait', 'isu', 'bank', 'arto', 'diakuisisi', 'gojek', 'bank', 'gojek']",<FreqDist with 20 samples and 27 outcomes>
1470,1470,1,asik penderitaan rakyat,assik penderitaan rakyat,"['assik', 'penderitaan', 'rakyat']","['asik', 'penderitaan', 'rakyat']",<FreqDist with 3 samples and 3 outcomes>
1471,1471,1,foto presiden joko widodo perumahan penduduk riau hutan dibakar,kotakotamu dibungku asapasap kelam bapakbapakmu gubernur walikotamu hengkang pergi negeri eh lokasi perumahan penduduk riau hutan dibakar,"['kotakotamu', 'dibungku', 'asapasap', 'kelam', 'bapakbapakmu', 'gubernur', 'walikotamu', 'hengkang', 'pergi', 'negeri', 'eh', 'lokasi', 'perumahan', 'penduduk', 'riau', 'hutan', 'dibakar']","['foto', 'presiden', 'joko', 'widodo', 'perumahan', 'penduduk', 'riau', 'hutan', 'dibakar']",<FreqDist with 17 samples and 17 outcomes>
1472,1472,1,mengerikan agama meniru islam,mengerikan lihat video iniapa pendapat saudara sebarkan video masyarakat islam,"['mengerikan', 'lihat', 'video', 'iniapa', 'pendapat', 'saudara', 'sebarkan', 'video', 'masyarakat', 'islam']","['mengerikan', 'agama', 'meniru', 'islam']",<FreqDist with 9 samples and 10 outcomes>
1473,1473,1,pilpr janggal diumumkan kpu provinsi menyelesaikan situng,loh provinsi selesaikan situng,"['loh', 'provinsi', 'selesaikan', 'situng']","['pilpr', 'janggal', 'diumumkan', 'kpu', 'provinsi', 'menyelesaikan', 'situng']",<FreqDist with 4 samples and 4 outcomes>
1474,1474,1,wanita bawa anj masuk masjid,agama islam hormati negeri,"['agama', 'islam', 'hormati', 'negeri']","['wanita', 'bawa', 'anj', 'masuk', 'masjid']",<FreqDist with 4 samples and 4 outcomes>
1475,1475,1,foto pose panglima tni kapolri koalisi,wayah wayah haha asekkkk goyangjempol netralita aparat pea,"['wayah', 'wayah', 'haha', 'asekkkk', 'goyangjempol', 'netralita', 'aparat', 'pea']","['foto', 'pose', 'panglima', 'tni', 'kapolri', 'koalisi']",<FreqDist with 7 samples and 8 outcomes>
1476,1476,1,udang tersangka,alhirnya udang tersangka kali hebat bukam kalenh,"['alhirnya', 'udang', 'tersangka', 'kali', 'hebat', 'bukam', 'kalenh']","['udang', 'tersangka']",<FreqDist with 7 samples and 7 outcomes>
